000122.jpe	1	[[(16, 184), (48, 48), (144, 54), (134, 201)]]
000136.jpe	1	[[(24, 226), (21, 76), (137, 76), (132, 226)]]
000023.jpe	1	[[(39, 206), (39, 68), (139, 69), (138, 206)]]
000037.jpe	1	[[(17, 233), (24, 28), (169, 30), (177, 235)]]
000137.jpe	1	[[(40, 220), (41, 68), (150, 67), (152, 220)]]
000123.jpe	1	[[(46, 201), (43, 64), (145, 62), (145, 199)]]
000109.jpe	1	[[(19, 254), (18, 66), (141, 72), (147, 238)]]
000135.jpe	1	[[(6, 239), (29, 50), (166, 45), (185, 239)]]
000121.jpe	1	[[(122, 196), (35, 184), (53, 66), (139, 75)]]
000034.jpe	1	[[(37, 233), (37, 87), (140, 89), (140, 229)]]
000020.jpe	1	[[(151, 230), (38, 223), (41, 69), (155, 70)]]
000120.jpe	1	[[(132, 230), (25, 228), (23, 77), (142, 79)]]
000134.jpe	1	[[(12, 231), (39, 56), (151, 57), (183, 227)]]
000108.jpe	1	[[(174, 247), (7, 246), (8, 11), (176, 13)]]
000130.jpe	1	[[(18, 243), (13, 10), (178, 7), (185, 239)]]
000124.jpe	1	[[(10, 227), (6, 15), (148, 31), (152, 214)]]
000118.jpe	1	[[(21, 209), (30, 0), (166, 21), (160, 203)]]
000019.jpe	1	[[(10, 249), (6, 9), (184, 9), (180, 247)]]
000031.jpe	1	[[(44, 193), (33, 40), (152, 35), (149, 193)]]
000025.jpe	1	[[(15, 238), (15, 16), (174, 16), (174, 238)]]
000119.jpe	1	[[(3, 253), (3, 6), (177, 5), (179, 252)]]
000125.jpe	1	[[(27, 243), (41, 9), (213, 11), (232, 243)]]
000131.jpe	1	[[(3, 203), (41, 46), (150, 47), (189, 203)]]
000127.jpe	1	[[(1, 245), (10, 12), (170, 12), (181, 247)]]
000133.jpe	1	[[(41, 220), (28, 93), (141, 94), (133, 220)]]
000026.jpe	1	[[(29, 227), (31, 78), (137, 78), (137, 227)]]
000032.jpe	1	[[(21, 224), (19, 69), (137, 69), (133, 226)]]
000132.jpe	9	[[(1, 85), (0, 9), (55, 9), (55, 85)], [(62, 85), (61, 10), (114, 9), (114, 86)], [(120, 86), (120, 9), (173, 9), (173, 85)], [(2, 167), (1, 92), (55, 92), (57, 166)], [(63, 165), (62, 93), (113, 93), (114, 165)], [(119, 166), (119, 93), (171, 93), (171, 165)], [(3, 249), (2, 173), (56, 173), (56, 247)], [(61, 245), (62, 172), (114, 171), (114, 245)], [(119, 245), (119, 172), (171, 171), (171, 244)]]
000126.jpe	1	[[(9, 191), (16, 35), (122, 35), (135, 188)]]
000083.jpe	1	[[(143, 214), (9, 216), (10, 26), (147, 32)]]
000097.jpe	1	[[(204, 248), (34, 245), (36, 8), (209, 6)]]
000169.jpe	1	[[(31, 224), (26, 42), (168, 42), (160, 227)]]
000141.jpe	1	[[(11, 238), (13, 27), (164, 22), (170, 241)]]
000155.jpe	1	[[(17, 236), (18, 23), (172, 23), (172, 237)]]
000040.jpe	1	[[(181, 247), (11, 245), (12, 6), (184, 8)]]
000054.jpe	1	[[(20, 227), (23, 33), (164, 34), (161, 230)]]
000182.jpe	1	[[(4, 252), (7, 8), (176, 8), (182, 251)]]
000068.jpe	1	[[(30, 226), (20, 11), (187, 10), (176, 231)]]
000196.jpe	1	[[(4, 232), (-2, 26), (295, 11), (297, 249)]]
000197.jpe	2	[[(5, 235), (5, 25), (155, 25), (155, 230)], [(177, 231), (176, 25), (320, 26), (321, 228)]]
000183.jpe	1	[[(8, 244), (8, 8), (176, 7), (178, 247)]]
000154.jpe	1	[[(22, 219), (21, 20), (165, 20), (162, 218)]]
000140.jpe	1	[[(230, 245), (25, 244), (42, 5), (210, 8)]]
000168.jpe	1	[[(16, 245), (10, 18), (183, 18), (171, 244)]]
000094.jpe	1	[[(23, 212), (25, 38), (145, 44), (148, 209)]]
000080.jpe	16	[[(5, 67), (5, 4), (49, 4), (49, 67)], [(49, 67), (50, 4), (91, 4), (92, 65)], [(92, 65), (91, 4), (135, 4), (136, 66)], [(136, 66), (137, 5), (178, 5), (179, 66)], [(4, 126), (4, 67), (48, 68), (47, 127)], [(49, 128), (49, 67), (92, 65), (93, 127)], [(93, 127), (92, 65), (135, 66), (135, 127)], [(136, 128), (135, 66), (180, 66), (180, 128)], [(3, 187), (4, 126), (48, 127), (47, 188)], [(48, 187), (49, 128), (93, 127), (90, 187)], [(92, 187), (93, 127), (135, 127), (136, 188)], [(137, 188), (136, 128), (180, 128), (181, 188)], [(5, 248), (3, 187), (48, 188), (49, 249)], [(50, 249), (48, 188), (91, 188), (92, 249)], [(93, 249), (92, 187), (135, 189), (135, 249)], [(136, 249), (136, 188), (180, 188), (179, 248)]]
000156.jpe	1	[[(47, 196), (59, 55), (157, 57), (168, 199)]]
000142.jpe	0	[]
000057.jpe	1	[[(25, 223), (23, 58), (140, 57), (145, 221)]]
000043.jpe	9	[[(16, 92), (16, 31), (58, 31), (58, 92)], [(63, 92), (63, 31), (104, 30), (105, 92)], [(111, 92), (109, 30), (154, 30), (154, 93)], [(17, 158), (17, 98), (58, 98), (59, 158)], [(64, 159), (64, 97), (106, 97), (106, 158)], [(111, 158), (111, 98), (154, 97), (154, 158)], [(18, 225), (18, 164), (60, 164), (60, 225)], [(64, 225), (64, 164), (107, 163), (107, 225)], [(112, 224), (112, 164), (155, 164), (154, 224)]]
000195.jpe	1	[[(69, 231), (53, 35), (193, 9), (217, 226)]]
000181.jpe	1	[[(34, 220), (41, 67), (147, 67), (155, 221)]]
000180.jpe	1	[[(7, 241), (4, 4), (181, -2), (177, 244)]]
000194.jpe	1	[[(17, 200), (16, 17), (145, 16), (149, 200)]]
000143.jpe	1	[[(20, 232), (31, 35), (165, 40), (172, 232)]]
000157.jpe	1	[[(36, 213), (22, 38), (160, 35), (156, 212)]]
000153.jpe	1	[[(21, 220), (20, 38), (150, 39), (150, 218)]]
000147.jpe	1	[[(40, 206), (40, 48), (151, 48), (155, 203)]]
000091.jpe	1	[[(48, 220), (51, 81), (147, 81), (151, 219)]]
000085.jpe	1	[[(31, 213), (25, 35), (161, 35), (159, 214)]]
000190.jpe	1	[[(4, 221), (3, 37), (136, 39), (134, 219)]]
000184.jpe	1	[[(28, 190), (47, 37), (153, 38), (175, 190)]]
000052.jpe	1	[[(13, 227), (29, 44), (148, 45), (162, 225)]]
000046.jpe	1	[[(41, 201), (45, 67), (139, 67), (143, 201)]]
000185.jpe	1	[[(12, 209), (16, 26), (144, 27), (145, 206)]]
000191.jpe	1	[[(21, 238), (21, 33), (168, 33), (169, 234)]]
000146.jpe	1	[[(1, 247), (6, 13), (170, 12), (173, 247)]]
000152.jpe	1	[[(22, 217), (26, 30), (148, 41), (151, 207)]]
000144.jpe	1	[[(4, 252), (4, 3), (181, 2), (181, 252)]]
